platform,organisation,organisation_country,organisation_type
Aberdeen University Research Archive (AURA),University of Aberdeen,UK,University
Abertay Research Portal,Abertay University,UK,University
Aberystwyth Research Portal,Aberystwyth University,UK,University
Apollo - University of Cambridge Repository,University of Cambridge,UK,University
ARRO - Anglia Ruskin Research Online,Anglia Ruskin University,UK,University
ARU Figshare,Anglia Ruskin University,UK,University
Aston Data Explorer,Aston University,UK,University
Aston Publications Explorer,Aston University,UK,University
Bangor University Research Portal,Bangor University,UK,University
Bath Spa University - ResearchSPAce,Bath Spa University,UK,University
BathSPAdata,Bath Spa University,UK,University
BCU Open Access Repository,Birmingham City University,UK,University
BiRD - Birkbeck Research Data,"Birkbeck, University of London",UK,University
Birmingham Research Portal,University of Birmingham,UK,University
Bishop Grosseteste Research Online,Bishop Grosseteste University,UK,University
BORDaR - Bournemouth Online Research Data Repository,Bournemouth University,UK,University
Bournemouth University BURO,Bournemouth University,UK,University
Bradford Scholars,University of Bradford,UK,University
Brighton Research Data,University of Brighton,UK,University
British Library research repository,British Library,UK,National library
British Museum research repository,British Museum,UK,National library
Buckingham E-Archive of Research (BEAR),The University of Buckingham,UK,University
Bucks New University repository,Buckinghamshire New University,UK,University
Canterbury Research and Theses Environment - CReaTE,Canterbury Christ Church University,UK,University
Cardiff Met figshare,Cardiff Metropolitan University,UK,University
Cardiff Met repository,Cardiff Metropolitan University,UK,University
CCCU Research Space Repository,Canterbury Christ Church University,UK,University
ChesterRep - the University of Chester's Online Research Repository,University of Chester,UK,University
City Research Online,"City, University of London",UK,University
CLoK - Central Lancashire online Knowledge,University of Central Lancashire,UK,University
Coventry University's Research Portal,Coventry University,UK,University
Cranfield Online Research Data (CORD),Cranfield University,UK,University
Cranfield University CERES,Cranfield University,UK,University
DataCat: The Research Data Catalogue,University of Liverpool,UK,University
DataSTORRE: Stirling Online Repository for Research Data,University of Stirling,UK,University
De Montfort University Open Research Archive - DORA,De Montfort University,UK,University
Deakin Research Online (DRO),Deakin University,Australia,University
Deep Blue (University of Michigan),University of Michigan,US,University
Deep Blue Data (University of Michigan),University of Michigan,US,University
"Discovery, University of Dundee",University of Dundee,UK,University
DMU Figshare,De Montfort University,UK,University
DSpace@MIT,MIT Libraries,US,University
eData: the STFC Research Data Repository,Science and Technology Facilities Council (STFC),UK,Funder
Edge Hill University Research Data Repository,Edge Hill University,UK,University
Edge Hill University research information repository,Edge Hill University,UK,University
Edinburgh DataShare,The University of Edinburgh,UK,University
Edinburgh Research Archive (ERA),The University of Edinburgh,UK,University
Edinburgh Research Explorer,The University of Edinburgh,UK,University
Enlighten: Publications (University of Glasgow),University of Glasgow,UK,University
Enlighten: Theses (University of Glasgow),University of Glasgow,UK,University
e-space: MMU's Research Repository,Manchester Metropolitan University,UK,University
Eureka: the Oxford Saïd Repository,"Said Business School, University of Oxford",UK,University
Explore Bristol Research,University of Bristol,UK,University
Falmouth University Research Repository (FURR),Falmouth University,UK,University
Fulcrum,University of Michigan,US,University
Glasgow School of Art - RADAR,Glasgow School of Art,UK,University
Glynd?r University Research Online repository,Wrexham Glyndwr University,UK,University
Goldsmiths Research Online,"Goldsmiths, University of London",UK,University
Greenwich Academic Literature Archive - GALA,University of Greenwich,UK,University
Harper Adams University Repository,Harper Adams University,UK,University
Heriot-Watt Research Portal,Heriot-Watt University,UK,University
Heriot-Watt University - ROS,Heriot-Watt University,UK,University
Hope's Institutional Research Archive (HIRA),Liverpool Hope University,UK,University
IDS OpenDocs,Institute of Development Studies,UK,University
Keele Repository,Keele University,UK,University
Keele Research Repository,Keele University,UK,University
Kent Academic Repository - KAR,University of Kent,UK,University
King's Research Portal ,King's College London,UK,University
Kingston University Research Repository,Kingston University,UK,University
Lancaster EPrints,University of Lancaster,UK,University
LBS Research Online,London Business School,UK,University
Leeds Arts University Repository,Leeds Arts University,UK,University
Leeds Beckett University Repository,Leeds Beckett University,UK,University
Leeds Trinity research,Leeds Trinity University,UK,University
Lincoln Repository,University of Lincoln,UK,University
LJMU Data Repository,Liverpool John Moores University,UK,University
LJMU Research Online,Liverpool John Moores University,UK,University
London Met Repository,London Metropolitan University,UK,University
Loughborough figshare,Loughborough University,UK,University
LSBU Open Research,London South Bank University,UK,University
LSE Research Online,London School of Economics and Political Science,UK,University
LSE Theses Online,London School of Economics and Political Science,UK,University
LSHTM Data Compass,London School of Hygiene & Tropical Medicine,UK,University
LSHTM Research Online,London School of Hygiene & Tropical Medicine,UK,University
LSTM Online Archive,Liverpool School of Tropical Medicine,UK,University
LYRASIS Research,LYRASIS,UK,Company
Manchester Research Explorer,University of Manchester,UK,University
Middlesex University Research Repository (Eprints),Middlesex University,UK,University
Minerva Access (University of Melbourne),University of Melbourne,Australia,University
MOLA research repository,MOLA (Museum of London Archaeology),UK,Research organisation
Monash figshare,Monash University,Australia,University
Monash University Research Portal ,Monash University,Australia,University
National Museums Scotland Research Repository,National Museums Scotland,UK,National library
National Museums Scotland research repository,National Museums Scotland,UK,National library
Natural History Museum repository,Natural History Museum,UK,National library
NERC Open Research Archive - NORA,NERC,UK,Funder
Newcastle University Library ePrints Service,Newcastle University,UK,University
Newman University Repository,Newman University,UK,University
Northeastern University London Repository,Northeastern University London,UK,University
